x1	     x2	     Zombies cured?
5.0437	 4.1690	 1.0
6.1311	 3.5473	 1.0
5.7953	 4.0692	 1.0
6.4954	 4.6180	 1.0
7.4671	 4.4596	 1.0
7.8943	 3.3170	 1.0
7.1062	 3.3789	 1.0
6.9444	 2.7644	 1.0
7.5991	 5.2529	 1.0
10.1799	 4.3667	 1.0
7.3007	 3.2615	 1.0
7.2706	 4.8344	 1.0
8.8168	 3.6237	 1.0
7.1744	 4.5486	 1.0
6.4199	 5.7190	 1.0
8.2589	 5.2651	 1.0
6.5465	 3.7541	 1.0
7.2254	 3.8937	 1.0
8.3421	 6.4560	 1.0
7.9439	 3.9162	 1.0
5.1212	 4.1209	 1.0
4.2144	 4.0369	 1.0
6.2967	 5.0045	 1.0
9.0146	 4.5061	 1.0
7.3370	 4.4748	 1.0
6.8662	 4.3638	 1.0
7.2163	 7.2034	 1.0
8.3772	 5.2070	 1.0
7.2651	 2.9978	 1.0
7.3884	 2.6104	 1.0
4.2492	 1.7486	 1.0
7.0672	 6.1820	 1.0
6.9002	 3.0202	 1.0
6.1168	 5.0616	 1.0
7.0525	 4.6371	 1.0
6.0482	 2.0776	 1.0
8.3473	 6.5579	 1.0
6.3979	 4.5771	 1.0
8.8386	 6.3799	 1.0
7.0002	 4.4048	 1.0
8.1016	 4.3498	 1.0
9.5889	 3.1195	 1.0
7.0858	 4.0551	 1.0
8.8141	 4.3887	 1.0
5.4849	 2.0139	 1.0
9.1852	 4.2508	 1.0
5.5744	 4.0146	 1.0
6.8134	 3.1248	 1.0
6.6694	 4.4437	 1.0
5.4391	 2.3725	 1.0
5.3443	 3.1153	 1.0
7.7915	 4.2234	 1.0
5.2422	 3.0655	 1.0
5.4545	 4.3051	 1.0
8.3002	 3.7340	 1.0
6.8709	 2.9513	 1.0
7.5954	 5.1749	 1.0
6.0084	 4.5849	 1.0
6.8496	 4.6561	 1.0
7.4711	 4.8682	 1.0
7.3524	 5.2364	 1.0
9.2943	 5.4573	 1.0
6.2562	 3.9468	 1.0
6.7525	 3.4372	 1.0
7.9821	 3.9920	 1.0
8.3234	 5.6276	 1.0
4.4518	 2.2665	 1.0
6.4451	 3.2639	 1.0
6.3444	 5.1505	 1.0
7.1077	 5.0128	 1.0
7.5439	 3.4826	 1.0
7.5028	 3.8185	 1.0
8.3457	 3.9842	 1.0
7.4959	 3.7367	 1.0
7.0120	 1.1154	 1.0
8.0706	 3.6291	 1.0
7.5608	 4.4352	 1.0
5.7782	 6.7432	 1.0
6.9124	 2.2613	 1.0
4.9190	 2.9891	 1.0
8.2750	 3.7040	 1.0
4.3292	 2.5531	 1.0
6.2391	 3.1090	 1.0
6.8245	 1.7050	 1.0
6.9373	 3.8594	 1.0
9.1817	 3.6602	 1.0
7.1468	 4.6503	 1.0
6.2719	 3.9768	 1.0
7.8643	 5.3670	 1.0
5.7951	 5.7639	 1.0
7.6727	 4.2280	 1.0
7.1154	 2.5520	 1.0
6.5653	 4.2340	 1.0
6.4633	 5.5846	 1.0
5.5571	 3.7069	 1.0
4.8040	 4.1834	 1.0
6.3462	 2.7768	 1.0
8.1591	 5.9276	 1.0
6.2039	 4.3775	 1.0
8.8382	 3.7311	 1.0
3.9836	 5.4739	 0.0
8.4862	 10.8076	 0.0
4.7478	 5.8783	 0.0
5.9188	 7.2712	 0.0
6.2055	 9.4108	 0.0
5.8415	 9.0478	 0.0
5.1552	 5.8261	 0.0
7.1383	 8.4305	 0.0
2.9145	 4.9842	 0.0
7.2753	 4.5977	 0.0
6.2304	 8.1951	 0.0
2.8149	 4.0027	 0.0
6.3486	 3.8011	 0.0
6.8801	 7.1404	 0.0
8.0089	 9.5586	 0.0
4.5711	 8.8644	 0.0
7.3240	 4.9358	 0.0
5.4290	 7.1123	 0.0
2.8190	 7.9919	 0.0
3.9529	 8.4029	 0.0
6.7993	 9.6831	 0.0
8.1860	 9.8966	 0.0
3.2782	 8.1334	 0.0
4.5372	 4.6986	 0.0
3.9571	 6.9322	 0.0
7.7316	 5.1681	 0.0
3.8129	 8.7937	 0.0
7.4788	 10.0536	 0.0
3.6004	 3.6727	 0.0
6.4098	 8.4921	 0.0
2.8126	 6.1866	 0.0
7.3049	 6.5353	 0.0
1.2975	 5.1369	 0.0
5.7687	 9.0860	 0.0
5.7502	 7.6973	 0.0
3.6631	 6.6457	 0.0
3.5371	 7.4743	 0.0
6.1776	 8.7430	 0.0
3.1682	 5.4015	 0.0
4.7959	 5.7229	 0.0
0.6261	 7.5377	 0.0
1.9875	 9.1209	 0.0
5.1784	 8.9913	 0.0
6.7656	 7.0386	 0.0
2.0944	 4.5393	 0.0
5.6173	 3.3872	 0.0
5.6056	 5.6164	 0.0
4.2844	 8.6896	 0.0
4.8519	 6.1166	 0.0
8.5628	 7.8922	 0.0
2.8016	 7.0603	 0.0
5.3276	 3.5716	 0.0
5.5823	 9.0432	 0.0
5.9203	 10.3039	 0.0
4.9828	 6.9366	 0.0
5.6499	 8.6540	 0.0
4.4464	 5.7380	 0.0
2.4097	 7.6151	 0.0
4.4902	 10.2803	 0.0
5.6375	 9.1456	 0.0
5.2741	 5.9319	 0.0
5.7619	 5.4894	 0.0
8.5642	 7.5292	 0.0
2.3060	 6.2899	 0.0
6.0761	 7.0357	 0.0
5.4715	 9.0609	 0.0
4.9834	 7.3462	 0.0
4.2238	 9.5238	 0.0
4.7874	 6.9058	 0.0
6.0619	 6.9229	 0.0
5.8406	 8.3544	 0.0
2.5162	 7.3609	 0.0
6.4080	 6.8454	 0.0
5.0816	 4.5088	 0.0
7.8075	 5.5926	 0.0
3.3436	 7.7645	 0.0
3.9534	 7.7251	 0.0
1.9029	 4.3009	 0.0
5.0298	 7.1926	 0.0
6.6981	 8.0460	 0.0
3.9986	 5.0238	 0.0
3.9698	 5.2990	 0.0
4.7674	 8.8515	 0.0
4.3924	 4.1620	 0.0
6.7269	 7.9192	 0.0
5.2210	 8.5681	 0.0
3.8695	 4.0375	 0.0
5.9894	 6.9186	 0.0
2.5819	 4.8467	 0.0
5.9758	 7.2637	 0.0
4.5852	 6.2832	 0.0
8.0928	 4.7864	 0.0
4.0855	 7.8590	 0.0
5.7970	 8.0386	 0.0
5.0649	 6.0341	 0.0
3.3763	 7.6284	 0.0
6.1320	 5.0242	 0.0
1.1910	 4.5791	 0.0
1.6555	 4.7653	 0.0
2.8828	 6.5632	 0.0
