x1	     x2	     Zombies cured?
7.4165	 4.1235	 1.0
7.1428	 4.9086	 1.0
7.0494	 5.0682	 1.0
7.5554	 3.7021	 1.0
7.0605	 5.1860	 1.0
7.5352	 4.5254	 1.0
5.9152	 4.5818	 1.0
7.1898	 6.3481	 1.0
8.6159	 4.0889	 1.0
7.8592	 4.8553	 1.0
7.4628	 5.0675	 1.0
8.2311	 3.3212	 1.0
8.1368	 2.8244	 1.0
7.8517	 3.6736	 1.0
6.6387	 5.7775	 1.0
6.6976	 6.7062	 1.0
7.0320	 4.2529	 1.0
7.9246	 5.2442	 1.0
6.5251	 4.8087	 1.0
6.7926	 5.8112	 1.0
6.4467	 5.5941	 1.0
4.8132	 6.1686	 1.0
7.5912	 6.0808	 1.0
7.2785	 3.8204	 1.0
5.3612	 6.4108	 1.0
7.4409	 4.1662	 1.0
7.2916	 4.3939	 1.0
6.5302	 5.6989	 1.0
7.0099	 5.2217	 1.0
7.6913	 5.6754	 1.0
7.4941	 5.4307	 1.0
8.1409	 4.3513	 1.0
7.5412	 3.9030	 1.0
8.3819	 4.1487	 1.0
6.4769	 5.4694	 1.0
7.4364	 4.2863	 1.0
8.2318	 3.9495	 1.0
6.2957	 4.9750	 1.0
6.3106	 4.1007	 1.0
7.6372	 3.9637	 1.0
6.5307	 4.9502	 1.0
7.0349	 5.5638	 1.0
6.6061	 5.2736	 1.0
7.8699	 5.0048	 1.0
7.0287	 4.5948	 1.0
7.4785	 4.8854	 1.0
7.0729	 5.2622	 1.0
6.8309	 5.4750	 1.0
5.6751	 5.8591	 1.0
7.3901	 4.5875	 1.0
7.3329	 4.5220	 1.0
6.9039	 4.7033	 1.0
6.1964	 5.7213	 1.0
7.0699	 4.5761	 1.0
6.3344	 5.5568	 1.0
7.1398	 4.2266	 1.0
7.0866	 4.0348	 1.0
5.6862	 6.0755	 1.0
6.3826	 5.5155	 1.0
7.0095	 5.6976	 1.0
6.7902	 4.8282	 1.0
7.9050	 5.0474	 1.0
5.8184	 5.4142	 1.0
6.9863	 6.3619	 1.0
8.1194	 3.8200	 1.0
6.9328	 3.5437	 1.0
7.4684	 4.9543	 1.0
5.3307	 5.3713	 1.0
6.8848	 5.3761	 1.0
7.0033	 6.5907	 1.0
7.2882	 4.5461	 1.0
6.8842	 5.4801	 1.0
7.6085	 4.7668	 1.0
7.9939	 3.5749	 1.0
7.1025	 5.4616	 1.0
6.8454	 4.9149	 1.0
7.7645	 4.7304	 1.0
6.9806	 4.3157	 1.0
7.4923	 4.4755	 1.0
6.5860	 5.2772	 1.0
7.3521	 4.0379	 1.0
6.6759	 5.4409	 1.0
6.6592	 4.3538	 1.0
6.5678	 4.3427	 1.0
7.0174	 3.9503	 1.0
7.2209	 4.1732	 1.0
7.6987	 4.7817	 1.0
7.5693	 4.3712	 1.0
7.8606	 4.8799	 1.0
7.7307	 4.8467	 1.0
7.7435	 3.7918	 1.0
7.5710	 3.3700	 1.0
8.8870	 2.8181	 1.0
6.5509	 5.2776	 1.0
8.0133	 4.6849	 1.0
6.6106	 4.9346	 1.0
7.7894	 5.1979	 1.0
6.5863	 5.6628	 1.0
6.9349	 5.4049	 1.0
5.8620	 5.8212	 1.0
7.7912	 7.6848	 0.0
8.5170	 8.9559	 0.0
6.1289	 2.9151	 0.0
4.7862	 1.6634	 0.0
4.0501	 8.1691	 0.0
4.3798	 5.2855	 0.0
10.5088	 2.3692	 0.0
3.2759	 2.2124	 0.0
10.0365	 2.4210	 0.0
7.1786	 2.8438	 0.0
9.4660	 9.2801	 0.0
6.5806	 3.7880	 0.0
5.7723	 6.2922	 0.0
9.0572	 8.3177	 0.0
5.8817	 3.4583	 0.0
7.4529	 7.3173	 0.0
10.1098	 4.7063	 0.0
9.7213	 3.9848	 0.0
4.9522	 6.7304	 0.0
6.4849	 4.6346	 0.0
9.6284	 2.4547	 0.0
4.2216	 9.3283	 0.0
9.0636	 5.6460	 0.0
10.0121	 5.5621	 0.0
7.0170	 4.1002	 0.0
7.5621	 3.0782	 0.0
9.8119	 8.4031	 0.0
10.8771	 3.6429	 0.0
9.3217	 5.8094	 0.0
5.8055	 5.9117	 0.0
7.0152	 9.2061	 0.0
5.0417	 3.6566	 0.0
7.0790	 3.6257	 0.0
3.6290	 3.9799	 0.0
3.4472	 5.9584	 0.0
8.0799	 4.5255	 0.0
7.9352	 3.4661	 0.0
3.6518	 6.9094	 0.0
7.8762	 3.5904	 0.0
7.3574	 9.1919	 0.0
9.8474	 5.4806	 0.0
8.1415	 4.9222	 0.0
5.1731	 6.0423	 0.0
3.8540	 6.4043	 0.0
3.4841	 7.9559	 0.0
7.9751	 8.5463	 0.0
8.5926	 2.7798	 0.0
5.1995	 2.2134	 0.0
6.3758	 4.0051	 0.0
5.9266	 6.3588	 0.0
3.6573	 4.5299	 0.0
3.5582	 8.9043	 0.0
3.9671	 1.9561	 0.0
8.4228	 9.4521	 0.0
4.7515	 6.8357	 0.0
4.8982	 6.4372	 0.0
3.0691	 2.6831	 0.0
8.8169	 1.7320	 0.0
7.4883	 6.0798	 0.0
7.4158	 1.7399	 0.0
8.9380	 7.1923	 0.0
9.5971	 3.2123	 0.0
6.1472	 3.5415	 0.0
4.0875	 9.1687	 0.0
4.5659	 2.9551	 0.0
