x1	     x2	     Zombies cured?
7.1896	 7.0282	 1.0
8.0031	 7.1138	 1.0
7.3367	 6.2339	 1.0
7.1812	 6.3174	 1.0
7.3800	 6.5857	 1.0
7.3785	 7.2903	 1.0
7.9561	 6.9221	 1.0
7.4281	 6.4715	 1.0
7.0067	 6.3481	 1.0
8.5972	 6.5736	 1.0
8.4236	 6.6528	 1.0
9.5883	 7.1802	 1.0
7.8409	 6.6372	 1.0
7.4047	 6.6095	 1.0
6.2849	 7.0105	 1.0
7.3666	 7.8401	 1.0
7.5775	 6.0933	 1.0
7.1051	 7.2659	 1.0
9.2045	 6.1637	 1.0
7.3376	 6.4043	 1.0
8.8795	 5.9528	 1.0
7.4908	 8.1205	 1.0
8.9101	 5.8315	 1.0
8.4769	 6.2771	 1.0
7.4167	 6.9045	 1.0
8.2140	 7.7833	 1.0
7.0924	 6.5309	 1.0
7.0124	 6.9892	 1.0
7.1507	 7.9811	 1.0
8.4218	 6.3741	 1.0
8.8379	 6.7224	 1.0
7.3210	 7.0099	 1.0
7.1373	 7.1206	 1.0
8.7258	 5.8364	 1.0
7.3589	 5.7826	 1.0
7.5302	 7.2610	 1.0
8.4751	 7.2653	 1.0
7.5392	 7.2016	 1.0
8.6313	 6.5280	 1.0
7.8367	 6.7998	 1.0
7.3951	 6.2672	 1.0
7.6167	 7.3191	 1.0
7.1664	 7.4164	 1.0
8.2890	 5.9945	 1.0
9.1253	 6.3205	 1.0
7.7751	 6.9175	 1.0
7.5244	 6.3387	 1.0
7.1068	 8.0893	 1.0
5.7737	 6.7924	 1.0
6.6634	 5.9777	 1.0
7.3011	 6.0017	 1.0
9.1477	 6.7091	 1.0
8.0869	 6.8696	 1.0
6.6484	 7.6150	 1.0
7.2224	 6.0864	 1.0
8.0267	 6.8259	 1.0
7.2353	 7.0773	 1.0
8.7934	 7.0327	 1.0
7.5185	 6.9689	 1.0
8.3712	 6.7733	 1.0
9.2362	 6.8296	 1.0
8.1874	 7.0919	 1.0
7.9233	 6.3738	 1.0
7.4734	 7.1043	 1.0
7.2671	 7.6320	 1.0
7.2993	 7.2934	 1.0
8.2020	 6.8403	 1.0
7.7536	 7.2561	 1.0
7.0046	 7.3055	 1.0
7.9504	 6.7469	 1.0
7.5804	 6.7684	 1.0
8.7254	 7.5508	 1.0
8.2007	 6.5165	 1.0
8.4729	 6.3465	 1.0
8.3341	 6.0698	 1.0
7.3242	 6.7028	 1.0
7.2841	 7.8919	 1.0
7.0652	 6.9242	 1.0
8.7757	 7.0044	 1.0
7.9455	 6.2445	 1.0
7.0745	 7.0055	 1.0
8.4159	 6.0292	 1.0
8.8554	 6.3625	 1.0
6.7251	 6.8037	 1.0
8.2925	 6.5185	 1.0
8.8060	 6.1769	 1.0
7.5845	 7.2196	 1.0
8.0845	 6.5425	 1.0
6.3543	 6.5897	 1.0
7.4622	 6.7298	 1.0
6.6903	 7.0686	 1.0
6.6375	 7.1258	 1.0
9.2728	 5.5625	 1.0
7.6732	 7.2970	 1.0
7.7897	 6.3907	 1.0
7.9134	 6.6341	 1.0
7.4311	 6.7325	 1.0
9.0187	 6.9224	 1.0
9.1163	 6.4006	 1.0
7.0532	 6.7018	 1.0
6.6590	 2.8333	 1.0
6.5476	 2.7062	 1.0
5.1966	 3.0841	 1.0
5.3590	 2.1330	 1.0
6.4624	 3.4972	 1.0
6.9013	 2.2981	 1.0
7.0902	 3.1927	 1.0
5.9202	 3.4045	 1.0
6.7816	 2.5602	 1.0
6.1129	 3.5411	 1.0
5.5356	 3.9289	 1.0
6.4894	 2.7986	 1.0
6.4963	 2.7200	 1.0
5.9656	 2.8987	 1.0
6.6074	 2.3371	 1.0
5.6481	 3.7687	 1.0
6.1579	 3.5620	 1.0
7.1223	 3.4059	 1.0
6.1953	 2.8529	 1.0
6.6622	 2.6354	 1.0
6.3033	 1.7493	 1.0
4.7905	 3.3458	 1.0
6.8847	 2.7983	 1.0
6.4965	 2.2737	 1.0
5.9440	 4.0128	 1.0
5.7674	 3.7518	 1.0
6.0181	 3.7100	 1.0
6.4971	 2.7187	 1.0
5.4414	 3.3960	 1.0
5.6821	 3.3454	 1.0
6.8279	 2.6645	 1.0
5.1769	 2.8421	 1.0
4.3517	 4.0834	 1.0
4.8566	 3.7907	 1.0
6.0970	 3.3485	 1.0
6.8797	 3.4803	 1.0
6.0990	 3.2676	 1.0
5.8372	 3.0586	 1.0
6.1714	 3.0486	 1.0
5.1930	 5.1731	 1.0
5.9927	 3.4205	 1.0
5.5775	 2.9508	 1.0
7.5651	 3.1722	 1.0
6.6419	 3.2234	 1.0
6.7942	 3.8487	 1.0
6.8527	 3.0566	 1.0
6.1918	 2.9702	 1.0
6.3951	 3.0905	 1.0
6.9335	 3.4311	 1.0
5.2404	 3.0652	 1.0
6.5652	 3.1292	 1.0
6.7409	 3.4589	 1.0
5.4380	 3.0622	 1.0
6.6215	 2.7520	 1.0
5.6502	 2.8107	 1.0
6.6552	 2.9832	 1.0
6.2954	 3.9643	 1.0
4.6960	 3.2882	 1.0
7.1315	 4.4039	 1.0
6.5211	 2.7555	 1.0
6.3357	 3.1993	 1.0
6.1150	 2.3295	 1.0
5.4689	 2.9132	 1.0
6.0506	 2.6373	 1.0
6.5372	 2.7588	 1.0
5.9126	 2.1224	 1.0
6.5532	 3.6991	 1.0
5.2629	 4.2797	 1.0
5.5235	 3.5600	 1.0
7.6924	 2.8882	 1.0
4.8486	 2.6910	 1.0
5.2024	 3.0619	 1.0
5.9974	 3.4199	 1.0
6.8032	 3.1365	 1.0
5.8076	 4.0396	 1.0
6.1707	 3.6731	 1.0
5.5395	 3.2136	 1.0
6.3075	 3.4279	 1.0
5.8515	 2.7346	 1.0
5.4531	 3.5777	 1.0
5.4029	 3.1506	 1.0
